symbol,onboardDate,weightedAvgPrice,money,tick_size,bp,closeTime
BTCUSDT,20190925160000,106079.37,18550206039.44458,0.1,0.009426903647712,1734507352076
ETHUSDT,20190925160000,3923.19,8931970424.1218,0.01,0.0254894613821915,1734507352013
SOLUSDT,20190925160000,222.0372,3132551897.14702,0.01,0.4503749822101882,1734507352549
DOGEUSDT,20190925160000,0.395953,2148215359.672584,1e-05,0.2525552275143767,1734507351494
XRPUSDT,20190925160000,2.6057,1863986998.2525668,0.0001,0.3837740338488697,1734507351482
SUIUSDT,20230503080000,4.664432,813880884.8506716,0.0001,0.2143883756907594,1734507352846
WIFUSDT,20240118221500,2.7211601,755608648.1740803,0.0001,0.3674903214992752,1734507353186
BNBUSDT,20190925160000,721.562,563368761.5876839,0.01,0.1385882294244985,1734507352921
ADAUSDT,20190925160000,1.06706,447747941.0422286,0.0001,0.9371544243060372,1734507351513
WLDUSDT,20230724200000,2.7648815,425732752.98850816,0.0001,0.3616791533380364,1734507352980
AVAXUSDT,20190925160000,48.7072,316162273.4294133,0.001,0.2053084554234281,1734507352714
ORDIUSDT,20231107203000,34.393629,313884979.3233378,0.001,0.2907515226148424,1734507352857
TIAUSDT,20231101003000,6.3948539,295587069.0618173,0.0001,0.1563757383104561,1734507353218
LINKUSDT,20190925160000,27.878,294400721.4617335,0.001,0.3587057895114426,1734507351779
XLMUSDT,20190925160000,0.44448,290448526.9887136,1e-05,0.2249820014398848,1734507351342
ENAUSDT,20240402203000,1.1190668,268221222.28281403,0.0001,0.8936017045631237,1734507352353
FTMUSDT,20190925160000,1.343027,245574588.72595865,0.0001,0.744586668771365,1734507352516
BOMEUSDT,20240316203000,0.007825,241589637.3909232,1e-06,1.277955271565495,1734507350814
APTUSDT,20221018150000,13.22213,232955025.3608507,0.0001,0.0756307796096392,1734507351266
LTCUSDT,20190925160000,123.65,224894606.2932387,0.01,0.8087343307723414,1734507351979
AAVEUSDT,20190925160000,366.859,220294904.79814,0.01,0.2725842898770372,1734507350613
HBARUSDT,20210317150000,0.28966,214900709.97063813,1e-05,0.3452323413657392,1734507352625
APEUSDT,20220317150000,1.5243,210681785.5600333,0.0001,0.65603883749918,1734507350347
NEARUSDT,20190925160000,6.5878,210339857.40427327,0.001,1.5179574364734814,1734507353064
NOTUSDT,20240516220000,0.0075853,210318143.1229472,1e-06,1.3183394196669875,1734507351265
FETUSDT,20230115150000,1.6349774,205925163.58899805,0.0001,0.6116292494318271,1734507350423
DOTUSDT,20190925160000,8.594,200333252.787502,0.001,1.163602513381429,1734507350388
TURBOUSDT,20240530233000,0.0102909,195780404.0825309,1e-07,0.0971732307184016,1734507351935
BCHUSDT,20190925160000,534.12,193502177.6064512,0.01,0.1872238448288774,1734507351038
FILUSDT,20190925160000,6.362,189204569.2766073,0.001,1.5718327569946555,1734507351840
TONUSDT,20240301203000,5.9042546,188537693.3437241,0.0001,0.1693693899988662,1734507350654
PEOPLEUSDT,20211223150000,0.0573,182606461.72265065,1e-05,1.7452006980802797,1734507350345
TRXUSDT,20190925160000,0.28461,176060380.55521524,1e-05,0.3513579986648397,1734507351309
SEIUSDT,20230817103000,0.5388329,173393273.90372336,0.0001,1.8558629215105469,1734507353243
UNIUSDT,20190925160000,16.2231,163848413.7056733,0.001,0.6164050027430023,1734507351584
ENSUSDT,20211129150000,42.929,159823008.72821662,0.001,0.232942765962403,1734507351418
SANDUSDT,20210118150000,0.68907,159172307.20149478,1e-05,0.145123136981729,1734507351731
SAGAUSDT,20240409183000,1.8953964,156621866.41683653,0.0001,0.5275941222638177,1734507353254
ARBUSDT,20230323150000,0.965169,152680709.1709,0.0001,1.0360879804469476,1734507352952
TAOUSDT,20240411223000,526.98,152369927.4631236,0.01,0.1897605222209571,1734507351247
OPUSDT,20220601150000,2.3792834,142736242.3698903,0.0001,0.4202946147566953,1734507351977
ETCUSDT,20190925160000,32.731,136268627.72228,0.001,0.3055207601356512,1734507350362
INJUSDT,20220816150000,27.630315,123075997.92327262,0.001,0.3619213172198725,1734507350448
TRBUSDT,20190925160000,72.08,112082393.22626936,0.001,0.1387347391786903,1734507350551
STXUSDT,20230220150000,2.3110695,105185936.61241736,0.0001,0.4327000983743674,1734507350361
OMUSDT,20240213220000,3.9913209,103345582.66023268,1e-05,0.0250543623290224,1734507353468
ETHFIUSDT,20240318233000,2.6837244,93909313.34968346,0.0001,0.3726165026483345,1734507350386
ATOMUSDT,20190925160000,8.649,90139824.6393546,0.001,1.1562030292519367,1734507350386
JUPUSDT,20240201023000,1.0439678,85789285.86686927,0.0001,0.9578839500605288,1734507353260
JASMYUSDT,20220419150000,0.04225,83010130.6651795,1e-06,0.2366863905325443,1734507353470
MASKUSDT,20210716150000,3.4513,82732257.71615396,0.0001,0.2897458928519689,1734507353270
PENDLEUSDT,20230728103000,6.0759104,79994726.51889667,0.0001,0.1645843888678806,1734507352880
JTOUSDT,20231208180000,3.462076,76719034.23339465,0.0001,0.2888440346196906,1734507352801
RUNEUSDT,20190925160000,6.7531,75938554.3769067,0.001,1.480801409722942,1734507353250
LDOUSDT,20220921150000,2.1273,74377449.74812199,0.0001,0.470079443425939,1734507352357
ARKMUSDT,20230728104500,1.9269987,73501894.10950999,0.0001,0.5189417097167736,1734507350999
MKRUSDT,20190925160000,1801.29,65603347.98864198,0.1,0.5551576925425667,1734507350418
